fold,origin,sku,model,sMAPE,MASE,WAPE,bias,interval_coverage,actual_total,forecast_total
0,2025-10-09,Bacon,Gradient Boosting,6.924062913922743,0.29558360756408175,6.703322532106048,-1.3524866680086123,1.0,433.0,423.53259332393975
0,2025-10-09,Burger Buns,Gradient Boosting,7.906345298077358,0.4815728949713632,7.423350340581579,4.059761003247654,1.0,1005.0,1033.4183270227336
0,2025-10-09,Butter,Gradient Boosting,35.33145033024414,1.0076082782451194,31.404119336125962,10.049318187560308,0.8571428571428571,224.0,294.3452273129222
0,2025-10-09,Cheese Slices,Gradient Boosting,8.649119636949964,0.48301176949053054,8.13788579489849,-6.2113192799347035,0.8571428571428571,735.0,691.520765040457
0,2025-10-09,Chicken Breast,Gradient Boosting,13.723351426895306,0.8747002802784575,13.964802987352549,3.94355540870169,1.0,811.0,838.6048878609118
0,2025-10-09,Coffee Beans,Gradient Boosting,11.621643241011705,0.5641500778539281,11.701373806091272,-3.8386386766575873,1.0,331.0,304.1295292633969
0,2025-10-09,Cooking Oil,Gradient Boosting,11.626810037422342,0.5259072145123387,12.353721771454843,1.5873040603371302,1.0,216.0,227.1111284223599
0,2025-10-09,Eggs,Gradient Boosting,8.253006115804187,0.48238685043854196,8.557941027848903,3.1351769965992813,1.0,545.0,566.946238976195
0,2025-10-09,Fries (Potatoes),Gradient Boosting,9.929174790753564,0.7064923461897247,9.660926625443581,-17.279257335793375,0.8571428571428571,1252.0,1131.0451986494463
0,2025-10-09,Gluten-free Buns,Gradient Boosting,155.82320077706672,0.9117202450877225,151.6950997724271,4.529394380164503,1.0,41.0,72.70576066115153
0,2025-10-09,Lettuce,Gradient Boosting,19.67138306982211,1.2270666721148702,19.704246577698527,-2.6171282959648425,0.8571428571428571,647.0,628.6801019282461
0,2025-10-09,Milk,Gradient Boosting,9.290801183224032,0.5487994918821013,9.812911850898738,6.73652569074126,0.8571428571428571,566.0,613.1556798351888
0,2025-10-09,Mushrooms,Gradient Boosting,10.79201957470693,0.39403402616456656,10.671618963995448,2.888824243191341,1.0,302.0,322.22176970233943
0,2025-10-09,Onions,Gradient Boosting,9.940700278916935,0.5529844171040336,9.792020939478343,-2.7068826952850134,1.0,490.0,471.05182113300486
0,2025-10-09,Salmon Fillet,Gradient Boosting,9.445683877338878,0.30879524806501846,8.438439929269089,-3.6525170193015364,1.0,326.0,300.43238086488924
